分类名称,预测日均销量,预测销量置信区间,预测日均批发价格,预测批发价格置信区间
水生根茎类,"0   20.02
1   19.83
2   19.50
3   19.95
4   19.02
5   19.66
6   19.13
Name: predicted_mean, dtype: float64","      lower 日均销量  upper 日均销量
1085      -26.77       66.82
1086      -36.16       75.82
1087      -44.38       83.38
1088      -51.88       91.79
1089      -59.86       97.89
1090      -65.65      104.96
1091      -72.28      110.54","0   11.89
1   12.02
2   11.96
3   11.96
4   12.08
5   11.90
6   12.09
Name: predicted_mean, dtype: float64","      lower 日均批发价格  upper 日均批发价格
1085          9.06         14.73
1086          8.88         15.15
1087          8.47         15.44
1088          8.06         15.87
1089          7.85         16.31
1090          7.36         16.45
1091          7.23         16.94"
花叶类,"0   127.87
1   129.44
2   131.04
3   126.70
4   126.52
5   129.53
6   126.25
Name: predicted_mean, dtype: float64","      lower 日均销量  upper 日均销量
1085      -27.43      283.18
1086      -46.72      305.59
1087      -71.80      333.87
1088      -99.64      353.03
1089     -120.93      373.96
1090     -138.68      397.75
1091     -160.53      413.02","0   3.17
1   3.18
2   3.13
3   3.18
4   3.16
5   3.20
6   3.17
Name: predicted_mean, dtype: float64","      lower 日均批发价格  upper 日均批发价格
1085          1.66          4.69
1086          1.46          4.89
1087          1.29          4.97
1088          1.10          5.25
1089          0.92          5.41
1090          0.81          5.59
1091          0.62          5.72"
花菜类,"0   27.60
1   25.30
2   27.62
3   27.25
4   26.68
5   28.30
6   26.42
Name: predicted_mean, dtype: float64","      lower 日均销量  upper 日均销量
1084       -7.70       62.90
1085      -19.11       69.70
1086      -21.58       76.82
1087      -27.68       82.18
1088      -33.78       87.14
1089      -36.90       93.51
1090      -43.29       96.13","0   8.05
1   8.11
2   8.10
3   8.05
4   8.12
5   8.09
6   8.08
Name: predicted_mean, dtype: float64","      lower 日均批发价格  upper 日均批发价格
1084          7.01          9.09
1085          6.73          9.49
1086          6.49          9.71
1087          6.24          9.87
1088          6.11         10.13
1089          5.91         10.27
1090          5.73         10.42"
茄类,"0   19.52
1   17.18
2   15.21
3   16.63
4   16.62
5   15.61
6   14.61
Name: predicted_mean, dtype: float64","      lower 日均销量  upper 日均销量
1050       -0.90       39.94
1051       -8.33       42.69
1052      -12.81       43.24
1053      -13.08       46.34
1054      -16.09       49.32
1055      -20.51       51.73
1056      -24.68       53.90","0   4.48
1   4.45
2   4.52
3   4.39
4   4.47
5   4.42
6   4.36
Name: predicted_mean, dtype: float64","      lower 日均批发价格  upper 日均批发价格
1050          3.35          5.61
1051          3.10          5.80
1052          2.95          6.08
1053          2.63          6.16
1054          2.52          6.42
1055          2.31          6.53
1056          2.09          6.64"
辣椒类,"0   79.04
1   80.73
2   82.47
3   79.71
4   82.23
5   80.03
6   81.90
Name: predicted_mean, dtype: float64","      lower 日均销量  upper 日均销量
1085        0.09      158.00
1086      -18.27      179.73
1087      -27.30      192.25
1088      -42.61      202.03
1089      -52.52      216.99
1090      -65.03      225.08
1091      -73.16      236.96","0   5.14
1   5.13
2   5.17
3   5.12
4   5.15
5   5.18
6   5.11
Name: predicted_mean, dtype: float64","      lower 日均批发价格  upper 日均批发价格
1085          3.55          6.74
1086          3.19          7.07
1087          2.98          7.37
1088          2.65          7.59
1089          2.44          7.86
1090          2.25          8.11
1091          1.98          8.25"
食用菌,"0   42.89
1   47.04
2   43.45
3   45.47
4   47.18
5   44.95
6   48.70
Name: predicted_mean, dtype: float64","      lower 日均销量  upper 日均销量
1085      -34.61      120.39
1086      -45.72      139.79
1087      -58.70      145.60
1088      -69.03      159.97
1089      -78.39      172.76
1090      -90.20      180.10
1091      -95.79      193.20","0   4.64
1   4.64
2   4.59
3   4.60
4   4.65
5   4.53
6   4.70
Name: predicted_mean, dtype: float64","      lower 日均批发价格  upper 日均批发价格
1085          2.54          6.74
1086          2.33          6.94
1087          2.03          7.15
1088          1.73          7.46
1089          1.56          7.75
1090          1.21          7.84
1091          1.16          8.23"
