分类名称,预测单价,日期
花叶类,7.147417810776773,0
花叶类,7.147424690088797,1
花叶类,7.147417810177449,2
花叶类,7.147421250064655,3
花叶类,7.147417810838696,4
花叶类,7.147417810831053,5
花叶类,7.147417810961843,6
食用菌,12.46866114715686,0
食用菌,12.468661145819816,1
食用菌,12.468654107938942,2
食用菌,12.468650588992485,3
食用菌,12.468661145862235,4
食用菌,12.468650587781003,5
食用菌,12.468654108591279,6
辣椒类,12.630445846250229,0
辣椒类,12.630445847336087,1
辣椒类,12.630445844553742,2
辣椒类,12.63044936648037,3
辣椒类,12.630449366090605,4
辣椒类,12.630449365808033,5
辣椒类,12.630445845464747,6
茄类,9.744614420558138,0
茄类,9.744614420754218,1
茄类,9.744614420797987,2
茄类,9.744614420776877,3
茄类,9.744614420776847,4
茄类,9.744614420801597,5
茄类,9.74461442079342,6
花菜类,9.849428081880292,0
花菜类,9.849431561304693,1
花菜类,9.849431561303666,2
花菜类,9.849428081881058,3
花菜类,9.849431561303653,4
花菜类,9.849431561303884,5
花菜类,9.849431561305359,6
水生根茎类,10.827203849037396,0
水生根茎类,10.82720035599261,1
水生根茎类,10.827200354757775,2
水生根茎类,10.827200355466621,3
水生根茎类,10.82720035493808,4
水生根茎类,10.82720035485353,5
水生根茎类,10.827200355687326,6
